id,game_id,voter_label,guessed_bot_label,guessed_correctly,free_text,created_at,picked_message_runtime_id
3af3087d-aca7-48ec-b063-af24aa4bb6fa,1,T,X,false,,2026-08-27T07:56:06.323306+00:00,
5a3325af-acd5-4275-9401-5c0ef06aeea9,1,X,W,true,매판 보엿던 문구였어,2026-08-27T07:56:40.296682+00:00,m1787817142669_f572
ef4dc872-9c3d-458c-824c-e4b44cbbf480,1,H,W,true,대부분의 게임에서 비슷한말을함,2026-08-27T07:56:45.73042+00:00,m1787817142669_f572
1a2c488e-647d-4ffd-aad3-a5566507dedc,1,G,W,true,"한 명 몰아가고 있는 상황에서 ""좀 더 봐야겠는데"" 같은 설명을 함.",2026-08-27T07:56:47.652158+00:00,m1787817205964_jd9y
dd4b60e0-325d-49b5-8481-e9ddd47bf1f4,2,F,Z,false,,2026-08-28T07:26:08.481655+00:00,
863f2c39-cc3c-4f11-9232-b471c95fc563,2,Z,G,true,봇이 자주 하는 말임,2026-08-28T07:26:26.679309+00:00,m1787901756904_zcvb
7116dbd7-9424-4557-9daa-e1f1bc40c876,2,J,G,true,매판 하는말이다,2026-08-28T07:26:27.334962+00:00,m1787901756904_zcvb
3ae0bec5-c9d5-4145-a8f0-dbf51106c21e,2,M,G,true,"이미 F를 의심하고 있고, 누군가를 의심하는 중인데 애매하다고 함. 문맥상 말이 안됨.",2026-08-28T07:26:54.015117+00:00,m1787901768326_4s6p
2879ca2f-8168-4ff5-a7e4-1efdfbc5cbe8,3,Y,L,true,,2026-08-28T07:33:50.064295+00:00,m1787902250378_dmzt
817e3bb1-a972-44ee-95cd-7eb9b4851fed,3,P,L,true,사람은 제시어를 직접적으로 말하지 않음,2026-08-28T07:33:50.167205+00:00,m1787902250378_dmzt
14498abf-55ed-42ce-aa78-52af2675b8d8,3,H,,,,2026-08-28T07:34:19.940916+00:00,m1787902124435_3ufj
1608c9b9-0b37-4987-9729-b77f265e45b7,3,T,L,true,"자기가 예측한 답을 말함으로 변호하려 한것 같지만, 어색했음.",2026-08-28T07:36:07.018422+00:00,m1787902250378_dmzt
a20a6fde-c1a3-406e-a63e-988fbda8df0d,4,W,O,false,,2026-08-28T07:42:30.095327+00:00,
a48276ec-b29b-4db8-85be-4b29727b442c,4,A,P,false,,2026-08-28T07:42:46.476195+00:00,m1787902708179_97hl
cf165809-c526-492e-b572-8bacb8b3ee31,4,P,V,true,봇이 라이어일때 묘사 표현법이 있는듯,2026-08-28T07:43:23.370997+00:00,m1787902655481_ihfc
ac19fc63-1829-4bb4-8e44-15daae878a69,4,O,V,true,몰리는 와중에 말을 너무 애매하게 끊었음.,2026-08-28T07:44:32.031971+00:00,m1787902751509_nmxc
dac0ff2d-a355-4edf-a310-245950d1f974,5,M,Y,false,,2026-08-28T07:57:25.586599+00:00,
2a0f7c5d-c11d-477b-b37e-bed15062a81e,5,X,B,true,봇이 자주 하는 말임,2026-08-28T07:57:56.756085+00:00,m1787903246383_lsoz
cd3fed09-b0f1-4533-92f8-8e86e419a38c,5,Y,M,false,,2026-08-28T07:58:23.556768+00:00,
1e24a1c9-6b1b-4df5-9210-044c22d0fb88,5,P,B,true,대놓고 의심되는 사람이 있는데 애매하다는 표현을 매크로 처럼 씀,2026-08-28T07:58:57.822506+00:00,m1787903246383_lsoz
ce03d887-a79c-421c-a67b-7384493ee31e,6,F,O,true,굳이 여기타이밍에서 두번나눠쓸필요가있나?,2026-08-28T08:30:16.922748+00:00,m1787905619693_16z3
ef41a46e-7618-4544-bb2c-f1d1da60faa7,6,V,,,너무 억지로 말을 끊음,2026-08-28T08:30:33.564432+00:00,m1787905619693_16z3
17fa501a-06f8-4900-a44b-3744a3bf9e47,7,H,H,false,자신의 지목이였는데 호응을하고있음,2026-08-31T02:33:32.920006+00:00,m1788143376319_gr9f
4e99f816-6a17-4b2c-a524-6c12e8cbd8b5,7,K,F,false,,2026-08-31T02:34:07.179028+00:00,m1788143243637_xxkh
0eb64b9d-bddd-47a5-bf53-2b91dc32ffe2,7,F,U,true,"너무 직접적으로 제시어를 풀어버렸음. 라이어든, 사람이든 이렇게 바로 말은 안할 것 같음.",2026-08-31T02:34:38.932879+00:00,m1788143458476_9zt5
4298e7a9-0c45-45e4-929c-03ac63b0c335,8,P,Y,false,,2026-08-31T02:43:23.564825+00:00,m1788144072201_dkw7
90b2a106-15bc-4796-910c-ea85ac7bca08,8,Y,L,true,모두까기,2026-08-31T02:43:42.859152+00:00,m1788144004973_uwq2
d9291ff5-f38f-4a14-a70e-bc0ec701a1d7,8,X,L,true,이번판은 봇같은건 안느껴졌음.,2026-08-31T02:43:56.133712+00:00,
786bd5b0-1727-4a87-804c-e2330feb9295,10,Q,I,true,,2026-08-31T05:33:43.996047+00:00,m1788154293380_bsdb
ca1bd39a-ee33-41f3-85a5-3a8d2c101b99,10,M,I,true,애매한데 라는 표현을 너무 자주 씀,2026-08-31T05:34:14.36897+00:00,
f9ef3409-0dfd-416f-970a-c3efa7fe6894,10,D,I,true,,2026-08-31T05:34:31.041608+00:00,m1788154293380_bsdb
